,year,title,published_at,category,nominee,artist,workers,winner
3596,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Pop Instrumental Performance,Being With You,George Benson,,True
3597,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Rock Vocal Performance, Female",Love Is A Battlefield,Pat Benatar,,True
3598,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Rock Vocal Performance, Male",Beat It,Michael Jackson,,True
3599,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Rock Performance By A Duo Or Group With Vocal,Synchronicity,The Police,,True
3600,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Rock Instrumental Performance,Brimstone And Treacle,Sting,,True
3601,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best R&B Vocal Performance, Female",Chaka Khan,Chaka Khan,,True
3602,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best R&B Vocal Performance, Male",Billie Jean,Michael Jackson,,True
3603,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best R&B Performance By A Duo Or Group With Vocal,Ain't Nobody,Rufus & Chaka Khan,,True
3604,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best R&B Instrumental Performance,Rockit,Herbie Hancock,,True
3605,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Rhythm & Blues Song,Billie Jean,,"Michael Jackson, songwriter (Michael Jackson)",True
3606,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Jazz Fusion Performance, Vocal Or Instrumental",Travels,Pat Metheny Group,,True
3607,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Country Vocal Performance, Female",A Little Good News,Anne Murray,,True
3608,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Country Vocal Performance, Male",I.O.U.,Lee Greenwood,,True
3609,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Country Performance By A Duo Or Group With Vocal,The Closer You Get...,Alabama,,True
